smiles,inchikey,count,first_seen_experiment,upstream_family,suggested_action,notes
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(c3)OC(c3ccc(O)c(O)c3)CC4=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,OMQADRGFMLGFJF-GDRLQRQZSA-N,3,custom_only_strict,aryl_methyl_ether_cleavage,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,QUQPHWDTPGMPEX-LLHRBZKSSA-N,3,custom_only_strict,unknown,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,GUMSHIGGVOJLBP-FZIAYWRKSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,SFJGZEAJXXBNTJ-WMQJJTPLSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5OC(C)=O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,BKTFZINGBYYYRS-AIFBDTKMSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4OC(C)=O)cc3O2)cc1OC,FGJMFFLPLHCXBR-AIFBDTKMSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,LYZIQPSTSMTVPF-ISDOPVRJSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](OC(C)=O)[C@H](O)[C@H]4O)cc3O2)cc1OC,LPOYDXPNMAXOHD-LKKIYTMSSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]5O)[C@@H](O)[C@H](OC(C)=O)[C@H]4O)cc3O2)cc1OC,TWNFDEHIYQJMOJ-NASOLHNBSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,QGFHUFQZVVXCLS-FKRVWGKGSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5OC(C)=O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1OC,LYCMXBOMHHVHCK-WMQJJTPLSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4OC(C)=O)cc3O2)cc1OC,AEZUNRCFQWQNLF-ALZUHCOQSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](OC(C)=O)[C@H](O)[C@H]4O)cc3O2)cc1OC,RMAUNZJDQHPMOR-CIOQSQLVSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
COc1ccc(C2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](OC(C)=O)[C@H]4O)cc3O2)cc1OC,AHQKOWRXCGDFLU-YSQCMRICSA-N,1,baseline_strict,0.0 Unrecognized,manual_review_aromatic_glycoside,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,OELQOCPRQSCAPZ-NOAGYLNPSA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,SIOFUXOWYUQWQW-ZWUBSFMASA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,ZVKTVLIJXGGLRT-CLTQVZSSSA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@H]1[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@@H](C)[C@H](O)[C@H]1O,KSBOACHAAHEXPN-YRHVFKDNSA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](OC(C)=O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,FNNGBXJROBDWMA-ZHNUFAISSA-N,1,flavonoid_strict,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](C)O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2OC(C)=O)[C@@H]1OC(C)=O,FPSHZDPFWSRWBR-CLTQVZSSSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]2O)O[C@H]1C,ALHWVJWBVAHMQU-GJGOQDGHSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)OC[C@@H]1OC(C)=O,GNEYLKJLRYQISM-PAEMFELMSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2OC(C)=O)O[C@H]1C,KGDNRMUHXYXBNW-ZOIOJLRHSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2OC(C)=O)O[C@H]1C,SBALPBYCRKMFGJ-XTBJHEEJSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](OC(C)=O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,QCFSLRPPLNWZAC-LXROPCLASA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
CCCCCCC[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](OC(C)=O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,JXXOTFLPVWOKHF-HMJPBDLZSA-N,1,flavonoid_trusted,0.0 Unrecognized,manual_review_sugar_bridge,
