name,inchikey,protection_class,acetyl_count,deacetylated_groups_removed,normalized_core_smiles,normalized_core_inchikey,normalized_core_assignment,assignment_confidence,human_review_needed,decision,notes
sugar_gap_rhamnosyl_hexose_disaccharide_UZIKLNYKVU,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,anomeric_deoxy_bridge_artifact,0,0,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_SPCUBGINFC,SPCUBGINFCWHNO-ZGYABWKMSA-N,acetylated,1,1,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_ASGYRTWPIY,ASGYRTWPIYFTQG-UHBWOGNBSA-N,acetylated,5,5,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_BSESJCOUYF,BSESJCOUYFELHO-DFRUXKTFSA-N,acetylated,2,2,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_COAOCSAWRK,COAOCSAWRKFHQU-OYESWYITSA-N,acetylated,2,2,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_HMSBGGCYEH,HMSBGGCYEHLLBH-NXBYORCZSA-N,acetylated,5,5,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_NDAQNSFGSP,NDAQNSFGSPFDIX-JEUWSQIJSA-N,acetylated,5,5,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_NTQPAWBRYI,NTQPAWBRYIOBFQ-ZGYABWKMSA-N,acetylated,1,1,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_RAFSHHVKLA,RAFSHHVKLARFJP-YOKAVQQVSA-N,acetylated,5,5,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_SJFVSFLVJA,SJFVSFLVJAZSFI-NXBYORCZSA-N,acetylated,5,5,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_TXZOTBUOBZ,TXZOTBUOBZIVMS-ZGYABWKMSA-N,acetylated,1,1,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_VQFCRWDUJQ,VQFCRWDUJQUJMR-MNENMKDJSA-N,acetylated,5,5,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_MZLKGISSOY,MZLKGISSOYWIMT-ZFOBKIDLSA-N,acetylated,1,1,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_OFZYAYMKZL,OFZYAYMKZLYPAR-XZTLZETGSA-N,acetylated,1,1,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_UDYLCPHGMF,UDYLCPHGMFALPK-ZGYABWKMSA-N,acetylated,1,1,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_UNBOZMFZFL,UNBOZMFZFLXXOQ-LIEZGGGQSA-N,acetylated,2,2,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
sugar_gap_rhamnosyl_hexose_disaccharide_VOAJQPZXTF,VOAJQPZXTFIBIC-GRGQJHSESA-N,acetylated,2,2,C[C@@H]1O[C@@H](OC[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,UZIKLNYKVUKZQZ-IFLAJBTPSA-N,rutinose_like_bridge_core_missing_anomeric_oxygen,high,no,derived_from_reviewed_core,deacetylation maps this bridge to rutinose_like_bridge_core_missing_anomeric_oxygen; not independent evidence and not promoted from virtual_bridge
